WardCode,WardName,crime_2022_23,population_2021,area_km2,pop_density_2021,crime_rate_1000,young_adult_share_2021,unemployment_rate_2021,higher_education_share_2021,non_uk_born_share_2021,lone_parent_household_share_2021,severe_household_deprivation_share_2021
E05009398,Norland,507,5461,0.5084248810492744,10741.02,92.84,28.96,5.28,65.78,44.19,9.04,13.69
E05009399,Notting Dale,1024,9406,0.5598139487581784,16802.01,108.87,30.68,12.27,40.65,42.7,18.72,34.15
E05009400,Pembridge,843,5355,0.3860630788740444,13870.79,157.42,39.78,5.16,69.5,56.27,5.63,10.8
E05009401,Queen's Gate,1032,7634,0.5743232580035403,13292.17,135.18,37.31,4.11,67.5,66.61,5.62,7.14
E05009402,Redcliffe,742,9179,0.7240960974074577,12676.49,80.84,37.8,4.38,65.18,58.89,6.17,11.57
E05009403,Royal Hospital,1707,8402,0.9140268445735362,9192.29,203.17,25.87,4.56,64.07,53.33,6.79,11.33
E05009404,St. Helen's,636,6284,0.48356446062982467,12995.17,101.21,30.32,6.59,52.89,38.51,11.87,23.59
E05009405,Stanley,1251,8542,0.7259073021212366,11767.34,146.45,31.24,5.56,60.42,51.21,9.1,15.38
E05011095,Borough & Bankside,3481,9331,0.9998141134909816,9332.73,373.06,46.81,5.63,57.21,48.44,9.64,15.35
E05011096,Camberwell Green,1733,15240,0.9220758328098868,16527.92,113.71,38.94,7.91,49.4,45.14,17.86,22.79
E05011097,Champion Hill,645,9449,1.0411790233248686,9075.29,68.26,36.55,5.49,59.44,37.36,16.86,17.69
E05011098,Chaucer,1729,15015,0.7532643521391196,19933.24,115.15,47.03,6.06,54.31,47.47,13.93,18.92
E05011099,Dulwich Hill,541,9706,1.0061966672317986,9646.23,55.74,34.73,5.06,62.56,26.93,11.13,13.86
E05011100,Dulwich Village,714,10088,2.625352818849179,3842.53,70.78,21.4,3.28,71.9,22.63,9.19,7.93
E05011101,Dulwich Wood,612,10285,3.017485011488258,3408.47,59.5,27.77,6.47,57.79,32.25,16.81,16.42
E05011102,Faraday,1247,12478,1.104910658239642,11293.22,99.94,36.14,9.45,44.03,48.3,22.34,24.87
E05011103,Goose Green,1101,13725,1.1556426993625462,11876.51,80.22,39.75,3.98,68.15,26.07,8.97,13.02
E05011104,London Bridge & West Bermondsey,3638,14886,1.1678930894638153,12746.03,244.39,50.7,5.27,61.45,45.38,11.69,16.1
E05011105,Newington,915,13833,0.7870838261601156,17575.0,66.15,38.19,7.97,46.97,42.19,19.44,25.15
E05011106,North Bermondsey,1491,15503,0.9180762174070028,16886.4,96.17,45.91,5.78,58.73,43.15,12.64,17.02
E05011107,North Walworth,2462,15646,0.7919729382947506,19755.73,157.36,49.42,6.58,54.36,49.04,14.26,18.91
E05011108,Nunhead & Queen's Road,1261,15597,1.3124539918931257,11883.85,80.85,40.47,7.22,50.36,34.26,18.09,25.01
E05011109,Old Kent Road,1958,18597,1.6490609803765048,11277.33,105.29,34.82,9.48,42.08,47.97,21.05,27.96
E05011110,Peckham,1189,14754,0.861517731884223,17125.59,80.59,36.74,8.79,45.11,43.96,22.93,26.65
E05011111,Peckham Rye,625,10180,1.89097757449182,5383.46,61.39,32.85,5.58,58.64,25.87,15.25,16.6
E05011112,Rotherhithe,1770,15395,1.4135860870664572,10890.74,114.97,46.78,5.86,57.27,47.05,13.37,18.74
E05011113,Rye Lane,2131,14270,1.267772742867223,11255.96,149.33,40.29,5.61,56.69,33.82,14.57,20.32
E05011114,St George's,1389,8147,0.5733525572383317,14209.41,170.49,49.28,5.77,55.75,45.77,13.99,16.37
E05011115,St Giles,1515,16430,1.1240719225103122,14616.5,92.21,39.67,6.33,54.78,39.27,16.56,19.77
E05011116,South Bermondsey,1461,15930,1.2161737513051158,13098.46,91.71,41.75,7.72,45.72,42.28,16.38,24.14
E05011117,Surrey Docks,967,13140,1.24941064622263,10516.96,73.59,50.61,4.98,65.8,46.01,7.83,12.23
E05011217,Barnehurst,506,11717,2.1270087835361644,5508.67,43.19,25.34,4.76,28.37,15.88,13.72,17.36
E05011218,Belvedere,1422,17561,4.945349483507373,3551.01,80.97,29.42,5.91,33.37,32.7,16.35,19.21
E05011219,Bexleyheath,1782,15908,3.641705395001841,4368.28,112.02,23.2,4.52,31.13,18.16,10.22,15.25
E05011220,Blackfen & Lamorbey,608,16126,2.9049543002842393,5551.21,37.7,24.37,3.51,27.94,12.0,10.64,13.3
E05011221,Blendon & Penhill,606,15573,3.3780223008729413,4610.09,38.91,24.57,3.39,28.13,11.29,10.07,13.36
